gene_id,group,RNA_Leaf_Zone_3_Growth,RNA_Root_Meristem_Zone_5_Days,Protein_Leaf_Zone_3_Growth,Protein_Root_Meristem_Zone_5_Days
Zm00001d052895,train,1.3294787342399998,1.94095046928,1.3294787342399998,1.94095046928
Zm00001d036371,test,4.25470259,3.4595563618400003,4.25470259,3.4595563618400003
Zm00001d051350,test,0.326438700599,0.18681712840700002,0.326438700599,0.18681712840700002
Zm00001d008330,train,3.35643723587,3.3646245442900002,3.35643723587,3.3646245442900002
Zm00001d009122,train,4.19711586384,5.165531912930001,4.19711586384,5.165531912930001
Zm00001d007018,train,4.28275892667,2.0561739653,4.28275892667,2.0561739653
Zm00001d002834,train,0.657031598546,0.0,0.657031598546,0.0
Zm00001d015811,train,3.64535986106,1.53557843614,3.64535986106,1.53557843614
Zm00001d003589,val,4.2448778125499995,4.755952723919999,4.2448778125499995,4.755952723919999
Zm00001d049946,val,1.94927833225,0.0,1.94927833225,0.0
Zm00001d044540,val,5.53810052411,5.87224941655,5.53810052411,5.87224941655
Zm00001d044159,train,0.430091696249,4.68612310147,0.430091696249,4.68612310147
Zm00001d023969,val,2.61757120072,2.6023382802,2.61757120072,2.6023382802
Zm00001d043198,val,0.296795835889,0.0677851734954,0.296795835889,0.0677851734954
Zm00001d008940,train,3.3910383132499997,1.12915051457,3.3910383132499997,1.12915051457
Zm00001d015114,val,3.2687266750800004,4.100443665249999,3.2687266750800004,4.100443665249999
Zm00001d030032,test,1.69944248745,2.64935640606,1.69944248745,2.64935640606
Zm00001d012286,val,3.6520437283800007,3.56932982316,3.6520437283800007,3.56932982316
Zm00001d006286,train,4.97238578881,2.8266898959400004,4.97238578881,2.8266898959400004
Zm00001d014606,train,0.0,0.0,0.0,0.0
Zm00001d004176,train,5.01515745159,5.5618891072,5.01515745159,5.5618891072
Zm00001d009891,train,1.8097787856599998,1.36552719402,1.8097787856599998,1.36552719402
Zm00001d049058,test,0.0,0.0,0.0,0.0
Zm00001d040805,val,1.75232756237,2.3465645211900004,1.75232756237,2.3465645211900004
Zm00001d006090,train,4.02627648707,2.22604966491,4.02627648707,2.22604966491
Zm00001d023264,val,3.02962722425,4.56216950131,3.02962722425,4.56216950131
Zm00001d049516,train,0.573192928839,1.02559073311,0.573192928839,1.02559073311
Zm00001d010662,test,1.76171952042,0.706286414719,1.76171952042,0.706286414719
Zm00001d016928,train,4.94704234449,4.66153120453,4.94704234449,4.66153120453
Zm00001d034941,train,4.89266582261,3.5970088614199995,4.89266582261,3.5970088614199995
